-2.9691	11.025
-1.957	9.6112
-2.5872	10.238
-2.4741	10.285
-2.5174	10.209
-2.4899	10.18
-2.3454	10.156
-2.3491	10.053
-2.4474	10.546
-2.4218	10.153
-2.4084	10.182
-2.501	10.403
-2.2917	10.182
-2.3705	10.189
-3.1779	11.582
-2.2269	10.157
-2.4156	10.367
-2.2646	10.253
-2.2646	10.102
-2.2588	10.019
-1.4178	9.2083
-2.1325	10.083
-2.0497	10.257
-2.158	10.37
-2.0914	10.105
-1.5114	9.79
-1.241	9.2966
-1.3911	9.5678
-1.5542	10.295
-1.2224	10.083
-1.3885	10.292
-0.85775	9.9278
-0.6685	9.8741
2.1887	7.9009
1.216	8.9075
4.6155	9.4068
5.9234	8.4462
8.2005	7.393
2.8582	11.561
1.8392	12.045
5.9432	8.6201
6.2741	8.3219
5.8925	9.0385
-1.9965	9.6432
-1.9403	9.3169
-2.0181	9.5906
-2.0136	9.5156
-2.3996	10.213
-2.3232	10.051
-2.3759	10.252
-1.8476	9.5702
-2.2956	10.048
-2.2134	10.102
-2.234	10.271
-1.3	9.2236
-1.6528	9.4836
-1.8829	9.726
0.30356	10.185
0.18459	10.434
1.2412	10.826
2.0452	10.641
4.9434	10.031
-2.2199	9.5998
-2.1308	9.7221
-2.1886	9.7212
-1.9674	9.4738
-1.9822	9.5422
-2.209	9.8854
-2.3902	10.077
-2.3333	10.045
-2.197	10.122
-1.8003	9.6742
-2.1328	9.9584
-2.0769	10.037
-1.5344	10.044
-1.6059	9.3768
-4.8357	12.264
-3.5198	11.5
-0.69961	9.2971
0.54125	10.447
0.098726	11.525
-0.9576	11.864
-0.060249	13.763
0.18205	13.413
0.000409	13.682
-0.065882	13.673
0.11354	13.467
0.41145	13.203
0.25886	13.488
0.11477	13.547
-0.002446	13.785
-0.5311	14.15
-0.091566	12.258
-0.48979	14.043
-0.27106	13.883
-0.082314	13.797
0.0666	13.692
-0.024367	13.777
-1.3937	14.144
0.55261	13.268
0.378	13.326
-0.15531	13.85
0.39838	13.203
-0.15261	13.682
0.063292	13.5
